1,5100,1
2,5101,1
3,4630,1
4,4633,1
5,4641,1
6,4780,1
7,4930,1
8,4635,1
9,4638,1
10,5081,1
11,5082,1
12,4631,2
13,4632,2
14,4784,2
15,4934,2
16,5080,2
17,4351,2
18,4391,2
19,5320,2
20,4638,3
21,4540,3
22,4560,3
23,1001,3
24,1036,3
25,1002,3
26,1037,3
27,1141,3
28,1142,3
29,1176,3
30,1177,3
31,1211,3
32,1212,3
33,1246,3
34,1247,3
35,1901,3
36,1902,3
37,1931,3
38,1932,3
39,1961,3
40,1962,3
41,1991,3
42,1992,3
43,1661,3
44,1662,3
45,1691,3
46,1692,3
47,1721,3
48,1722,3
49,1751,3
50,1752,3
51,1781,3
52,1782,3
53,1811,3
54,1812,3
55,1841,3
56,1842,3
57,1871,3
58,1872,3
59,1281,3
60,1282,3
61,2021,3
62,2022,3
63,2051,3
64,2052,3
65,2081,3
66,2082,3
67,2111,3
68,2112,3
69,2141,3
70,2142,3
71,2171,3
72,2172,3
73,2201,3
74,2202,3
75,2231,3
76,2232,3
77,2261,3
78,2262,3
79,2291,3
80,2292,3
81,2321,3
82,2322,3
83,2351,3
84,2352,3
85,2650,4
86,2685,4
87,2755,4
88,2720,4
89,2545,4
90,2510,4
91,6152,4
92,6151,4
