1,5101,1
2,5080,1
3,5081,1
4,5082,1
5,5320,1
6,4636,1
7,4641,1
8,4630,1
9,4631,1
10,4633,1
11,4635,1
12,4930,1
13,4934,1
14,4938,1
15,4780,1
16,4784,1
17,4638,2
18,4632,2
19,4634,2
20,5105,2
21,4352,2
22,4392,2
23,4520,2
24,5104,3
25,5103,3
26,5106,3
27,4541,3
28,4561,3
29,1664,3
30,1694,3
31,1724,3
32,1754,3
33,1784,3
34,1814,3
35,1844,3
36,1874,3
37,1904,3
38,1934,3
39,1964,3
40,1994,3
41,2024,3
42,2054,3
43,2084,3
44,2114,3
45,2144,3
46,2174,3
47,2204,3
48,2234,3
49,2264,3
50,2294,3
51,2324,3
52,2354,3
53,1039,3
54,1004,3
55,1144,3
56,1179,3
57,1214,3
58,1249,3
59,1284,3
60,4521,3
61,4580,4
62,2687,4
63,2652,4
64,2757,4
65,2722,4
66,2547,4
67,2512,4
68,1389,4
69,1362,4
