MaxNumMob,MinGroup,MaxGroup,MinuteGen,Leader,Follower,RouteType,Formation,Angle,StartPos/0,StartPos/1,StartRange,StartWait,StartAction,DestPos/0,DestPos/1,DestRange,DestWait,DestAction
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3496,844,12,6,0,3484,841,9,8,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3502,862,11,7,0,3504,862,6,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3510,875,12,6,0,3514,874,12,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3526,887,10,5,0,3518,891,9,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3522,896,11,6,0,3526,905,12,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3526,871,7,5,0,3527,880,6,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3426,901,11,8,0,3433,899,9,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3422,894,10,7,0,3424,905,6,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3433,896,7,7,0,3440,906,6,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3448,906,9,8,0,3452,917,11,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3427,884,9,4,0,3432,887,7,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3434,883,9,6,0,3445,885,12,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3407,876,6,8,0,3395,884,11,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3521,944,11,7,0,3532,936,10,8,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3532,932,9,4,0,3521,936,7,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3528,943,10,8,0,3539,932,6,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3549,961,10,6,0,3553,953,9,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3565,965,11,7,0,3558,957,11,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3499,980,11,5,0,3507,989,8,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3465,917,11,8,0,3476,907,7,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3457,919,10,4,0,3456,918,10,6,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3471,919,8,8,0,3461,913,7,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3461,910,7,8,0,3454,914,12,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3469,910,9,6,0,3469,905,11,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3479,910,6,8,0,3475,907,7,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3475,914,9,5,0,3468,908,11,7,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3441,946,10,5,0,3434,946,7,8,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3437,956,8,6,0,3433,967,7,5,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3446,947,10,4,0,3445,951,7,4,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3438,912,10,5,0,3450,923,11,8,0
1,1,1,1,Max_Filhote,Max_Filhote,0,0,0,3439,919,6,8,0,3451,910,6,7,0
